clip,snr,vad_acc,offline_vdr,offline_rpa,offline_rca,offline_gross_err,offline_median_cents,realtime_vdr,realtime_rpa,realtime_rca,realtime_gross_err,realtime_median_cents
69,-5 dB,0.972,0.6963350785340314,0.9172932330827067,0.9172932330827067,0.08270676691729323,20.06119728088379,0.6570680628272252,0.9482071713147411,0.9482071713147411,0.05179282868525897,20.06119728088379
70,-5 dB,0.966,0.30973451327433627,1.0,1.0,0.0,0.6962569952011108,0.6106194690265486,0.9855072463768116,0.9855072463768116,0.014492753623188406,20.129758834838867
71,-5 dB,0.96,0.37597911227154046,0.9791666666666666,0.9791666666666666,0.020833333333333332,20.19646453857422,0.3733681462140992,0.958041958041958,0.958041958041958,0.04195804195804196,20.19646453857422
72,-5 dB,0.734,0.2782608695652174,0.9479166666666666,0.9479166666666666,0.052083333333333336,19.91338348388672,0.2782608695652174,0.9375,0.9375,0.0625,19.91338348388672
73,-5 dB,0.86,0.8582474226804123,0.9669669669669669,0.9669669669669669,0.03303303303303303,19.938608169555664,0.8067010309278351,0.9552715654952076,0.9552715654952076,0.04472843450479233,19.938608169555664
74,-5 dB,0.916,0.5958005249343832,0.9427312775330396,0.9427312775330396,0.05726872246696035,20.06119728088379,0.5669291338582677,0.9490740740740741,0.9490740740740741,0.05092592592592592,20.06119728088379
75,-5 dB,0.952,0.22911051212938005,0.9882352941176471,0.9882352941176471,0.011764705882352941,20.19646453857422,0.2210242587601078,0.9878048780487805,0.9878048780487805,0.012195121951219513,20.19646453857422
76,-5 dB,0.91,0.7314814814814815,0.9556962025316456,0.9556962025316456,0.04430379746835443,19.430736541748047,0.7222222222222222,0.9551282051282052,0.9551282051282052,0.04487179487179487,19.430736541748047
77,-5 dB,0.982,0.3076923076923077,0.9791666666666666,0.9791666666666666,0.020833333333333332,19.55950927734375,0.25,0.9230769230769231,0.9230769230769231,0.07692307692307693,19.94781494140625
78,-5 dB,0.966,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
79,-5 dB,0.854,0.09157509157509157,0.96,0.96,0.04,20.112350463867188,0.08791208791208792,0.9583333333333334,0.9583333333333334,0.041666666666666664,20.112350463867188
80,-5 dB,0.77,0.06451612903225806,0.55,0.55,0.45,20.112350463867188,0.10967741935483871,0.38235294117647056,0.38235294117647056,0.6176470588235294,80.19648742675781
81,-5 dB,0.954,0.8918918918918919,0.9939393939393939,0.9939393939393939,0.006060606060606061,19.303794860839844,0.9135135135135135,0.9763313609467456,0.9763313609467456,0.023668639053254437,19.40767478942871
82,-5 dB,0.852,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
83,-5 dB,0.992,0.7949886104783599,0.9742120343839542,0.9742120343839542,0.025787965616045846,19.6392879486084,0.7676537585421412,0.9703264094955489,0.9703264094955489,0.02967359050445104,19.72091293334961
84,-5 dB,0.914,0.6503856041131105,0.9802371541501976,0.9802371541501976,0.019762845849802372,0.514682948589325,0.6683804627249358,0.9615384615384616,0.9615384615384616,0.038461538461538464,19.485427856445312
85,-5 dB,0.948,0.40668523676880225,0.9794520547945206,0.9794520547945206,0.02054794520547945,19.40767478942871,0.4568245125348189,0.9512195121951219,0.9512195121951219,0.04878048780487805,19.40767478942871
86,-5 dB,0.988,0.8297297297297297,0.9087947882736156,0.9087947882736156,0.09120521172638436,19.942686080932617,0.7567567567567568,0.925,0.925,0.075,19.938608169555664
87,-5 dB,0.94,0.8347826086956521,0.9305555555555556,0.9305555555555556,0.06944444444444445,19.740903854370117,0.7565217391304347,0.9118773946360154,0.9118773946360154,0.08812260536398467,19.823720932006836
88,-5 dB,0.974,0.8820638820638821,0.947075208913649,0.947075208913649,0.052924791086350974,19.885356903076172,0.855036855036855,0.9482758620689655,0.9482758620689655,0.05172413793103448,19.885356903076172
89,-5 dB,0.972,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
90,-5 dB,0.976,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
91,-5 dB,0.816,0.04281345565749235,1.0,1.0,0.0,19.940319061279297,0.0581039755351682,1.0,1.0,0.0,0.4362306296825409
92,-5 dB,0.99,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
93,-5 dB,0.944,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
94,-5 dB,0.942,0.5193798449612403,0.9850746268656716,0.9850746268656716,0.014925373134328358,19.54807472229004,0.4909560723514212,0.9842105263157894,0.9842105263157894,0.015789473684210527,19.54807472229004
95,-5 dB,0.978,0.8230563002680965,0.9543973941368078,0.9543973941368078,0.04560260586319218,20.010826110839844,0.8123324396782842,0.9438943894389439,0.9438943894389439,0.056105610561056105,20.06119728088379
96,-5 dB,0.956,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
97,-5 dB,0.884,0.8467153284671532,0.9511494252873564,0.9511494252873564,0.04885057471264368,19.64158821105957,0.8077858880778589,0.9367469879518072,0.9367469879518072,0.06325301204819277,19.6392879486084
98,-5 dB,0.942,0.4,1.0,1.0,0.0,20.010826110839844,0.390625,1.0,1.0,0.0,19.88759994506836
99,-5 dB,0.9,0.51010101010101,0.9257425742574258,0.9257425742574258,0.07425742574257425,20.27834701538086,0.42424242424242425,0.9047619047619048,0.9047619047619048,0.09523809523809523,20.432662963867188
100,+0 dB,0.968,0.1658291457286432,0.9393939393939394,0.9393939393939394,0.06060606060606061,19.989273071289062,0.24623115577889448,1.0,1.0,0.0,19.989273071289062
101,+0 dB,0.916,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
102,+0 dB,0.72,0.25065963060686014,0.8736842105263158,0.8736842105263158,0.12631578947368421,20.010826110839844,0.18469656992084432,0.9,0.9,0.1,19.921875
103,+0 dB,0.978,0.7737556561085973,0.9064327485380117,0.9064327485380117,0.0935672514619883,20.06119728088379,0.8054298642533937,0.9101123595505618,0.9101123595505618,0.0898876404494382,19.976757049560547
104,+0 dB,0.966,0.7396449704142012,0.968,0.968,0.032,19.675609588623047,0.7071005917159763,0.9372384937238494,0.9372384937238494,0.06276150627615062,19.72091293334961
105,+0 dB,0.686,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
106,+0 dB,0.966,0.7374005305039788,0.9748201438848921,0.9748201438848921,0.025179856115107913,20.057334899902344,0.7241379310344828,0.9413919413919414,0.9413919413919414,0.05860805860805861,20.06119728088379
107,+0 dB,0.846,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
108,+0 dB,0.492,0.027472527472527472,0.0,0.0,1.0,119.67034912109375,0.04395604395604396,0.1875,0.1875,0.8125,99.67033386230469
109,+0 dB,0.984,0.8145695364238411,0.9512195121951219,0.9512195121951219,0.04878048780487805,19.563840866088867,0.804635761589404,0.9300411522633745,0.9300411522633745,0.06995884773662552,19.563840866088867
110,+0 dB,0.818,0.3049095607235142,0.9322033898305084,0.9322033898305084,0.06779661016949153,19.567285537719727,0.2868217054263566,0.9279279279279279,0.9279279279279279,0.07207207207207207,19.567285537719727
111,+0 dB,0.972,0.27385892116182575,0.9696969696969697,0.9696969696969697,0.030303030303030304,19.485427856445312,0.27800829875518673,0.8955223880597015,0.8955223880597015,0.1044776119402985,19.545576095581055
112,+0 dB,0.98,0.6258823529411764,0.9624060150375939,0.9624060150375939,0.03759398496240601,0.6962569952011108,0.6211764705882353,0.9734848484848485,0.9734848484848485,0.026515151515151516,0.6962569952011108
113,+0 dB,0.702,0.0,nan,nan,nan,nan,0.0041841004184100415,0.0,1.0,1.0,2360.432861328125
114,+0 dB,0.896,0.06691449814126393,0.9444444444444444,0.9444444444444444,0.05555555555555555,39.87065124511719,0.040892193308550186,0.9090909090909091,0.9090909090909091,0.09090909090909091,40.1706428527832
115,+0 dB,0.998,0.0,nan,nan,nan,nan,0.007905138339920948,0.5,0.5,0.5,49.89242172241211
116,+0 dB,0.98,0.9263657957244655,0.9846153846153847,0.9846153846153847,0.015384615384615385,19.388519287109375,0.9168646080760094,0.9740932642487047,0.9766839378238342,0.025906735751295335,19.388519287109375
117,+0 dB,0.98,0.7843137254901961,0.95625,0.95625,0.04375,19.828105926513672,0.7843137254901961,0.95625,0.95625,0.04375,19.836769104003906
118,+0 dB,0.984,0.5422885572139303,0.926605504587156,0.926605504587156,0.07339449541284404,19.978729248046875,0.4900497512437811,0.9238578680203046,0.9238578680203046,0.07614213197969544,19.952945709228516
119,+0 dB,0.992,0.9276485788113695,0.9554317548746518,0.9554317548746518,0.04456824512534819,19.573440551757812,0.9018087855297158,0.9455587392550143,0.9455587392550143,0.054441260744985676,19.573440551757812
120,+0 dB,0.938,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
121,+0 dB,0.986,0.5769230769230769,0.9277777777777778,0.9277777777777778,0.07222222222222222,19.96818733215332,0.5448717948717948,0.9352941176470588,0.9352941176470588,0.06470588235294118,19.96818733215332
122,+0 dB,0.956,0.444743935309973,0.9575757575757575,0.9575757575757575,0.04242424242424243,19.870378494262695,0.41509433962264153,0.9285714285714286,0.9285714285714286,0.07142857142857142,19.84490966796875
123,+0 dB,0.93,0.8522727272727273,0.9666666666666667,0.9666666666666667,0.03333333333333333,19.673004150390625,0.8579545454545454,0.9470198675496688,0.9470198675496688,0.052980132450331126,19.705047607421875
124,+0 dB,0.964,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
125,+0 dB,0.956,0.8290816326530612,0.9846153846153847,0.9846153846153847,0.015384615384615385,19.523868560791016,0.8137755102040817,0.9717868338557993,0.9717868338557993,0.02821316614420063,19.54807472229004
126,+0 dB,0.992,0.5508021390374331,0.941747572815534,0.941747572815534,0.05825242718446602,19.6392879486084,0.48128342245989303,0.9333333333333333,0.9333333333333333,0.06666666666666667,19.6392879486084
