clip,snr,vad_acc,offline_vdr,offline_rpa,offline_rca,offline_gross_err,offline_median_cents,realtime_vdr,realtime_rpa,realtime_rca,realtime_gross_err,realtime_median_cents
38,-5 dB,0.122,0.0,nan,nan,nan,nan,0.0025188916876574307,0.0,0.0,1.0,80.27838897705078
39,-5 dB,0.956,0.7275641025641025,0.947136563876652,0.947136563876652,0.05286343612334802,19.705047607421875,0.7019230769230769,0.9452054794520548,0.9452054794520548,0.0547945205479452,19.705047607421875
40,-5 dB,0.942,0.3598901098901099,0.9389312977099237,0.9389312977099237,0.061068702290076333,19.91338348388672,0.4175824175824176,0.9276315789473685,0.9276315789473685,0.07236842105263158,19.989273071289062
41,-5 dB,0.944,0.8588516746411483,0.958217270194986,0.958217270194986,0.04178272980501393,19.88759994506836,0.8181818181818182,0.9590643274853801,0.9590643274853801,0.04093567251461988,19.862184524536133
42,-5 dB,0.644,0.0196078431372549,0.0,0.0,1.0,679.747802734375,0.04481792717086835,0.0,0.0,1.0,659.5238647460938
43,-5 dB,0.994,0.8854748603351955,0.9873817034700315,0.9873817034700315,0.012618296529968454,0.6962569952011108,0.8631284916201117,0.9644012944983819,0.9644012944983819,0.03559870550161812,19.303794860839844
44,-5 dB,0.684,0.08184143222506395,1.0,1.0,0.0,0.5692873597145081,0.0741687979539642,1.0,1.0,0.0,0.5692873597145081
45,-5 dB,0.97,0.9132530120481928,0.9841688654353562,0.9841688654353562,0.0158311345646438,19.470333099365234,0.8530120481927711,0.9887005649717514,0.9887005649717514,0.011299435028248588,19.470333099365234
46,-5 dB,0.994,0.8934624697336562,0.983739837398374,0.983739837398374,0.016260162601626018,19.563840866088867,0.8692493946731235,0.9777158774373259,0.9777158774373259,0.022284122562674095,19.563840866088867
47,-5 dB,0.488,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
48,-5 dB,0.402,0.01366742596810934,1.0,1.0,0.0,10.000025749206543,0.01366742596810934,0.8333333333333334,0.8333333333333334,0.16666666666666666,10.000025749206543
49,-5 dB,0.816,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
50,-5 dB,0.996,0.8794326241134752,0.9354838709677419,0.9354838709677419,0.06451612903225806,19.545576095581055,0.8297872340425532,0.9316239316239316,0.9316239316239316,0.06837606837606838,19.705047607421875
51,-5 dB,0.996,0.315,0.9365079365079365,0.9365079365079365,0.06349206349206349,20.17625617980957,0.345,0.8985507246376812,0.8985507246376812,0.10144927536231885,20.17626953125
52,-5 dB,0.818,0.2727272727272727,0.98989898989899,0.98989898989899,0.010101010101010102,0.6113935708999634,0.2699724517906336,0.9795918367346939,0.9795918367346939,0.02040816326530612,9.999956130981445
53,-5 dB,0.804,0.03278688524590164,0.8333333333333334,0.8333333333333334,0.16666666666666666,20.030193328857422,0.06284153005464481,0.782608695652174,0.782608695652174,0.21739130434782608,20.50889015197754
54,-5 dB,0.458,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
